premise,hypothesis,genre,label
These form the major stops of a Nile cruise and are all visited by tour groups from bases at Luxor or from Aswan to the south.,"These make up the major stops of a typical Nile cruise, and are thus visited by many tour groups.",travel,0
Figures 1 through 4 on the following page illustrate both the emissions projections and the impact of banking the early reductions on all four emissions caps implemented in 2007.,Banking may had an effect on the reducing of emissions caps in 2007.,government,0
"Individual income taxes, corporation income taxes, social insurance taxes and contributions,37 excise taxes, estate and gift taxes, and customs duties.",They noted various types of taxes.,government,0
Slate 's Complete Flytrap Coverage,Slate is covering Flytrap in depth.,slate,0
There is no representation of the Buddha in this early era.,No representation of Buddha was found in this early era.,travel,0
provide resources for capital formation and economic growth.,Capital formation and economic growth are given resources by this.,government,0
They supported a lot of great and good art.,They supported the arts.,slate,0
"Ever raced that colt of yours?"" ",Have you ever raced your colt?,fiction,0
It would be easy enough to lie out in the hills and keep field glasses on us down here.,The hill offers a good place for someone to hide and watch us down here.,fiction,0
Contribution by the General Fund to the SMI trust fund.,The General Fund contributed to the SMI trust fund.,government,0
because they're um they're just running out of space and landfills uh Pennsylvania Ohio and New York are some of the uh they're using their landfills up faster than they can get new ones,They are filling up the landfills very fast.,telephone,0
Specific form and content guidance on financial reports will be provided by OMB.,There is guidance for the financial reports.,government,0
"Meanwhile, plenty of other good explanations have been offered for the GOP's setbacks.",There are a lot of good explanations offered for why the GOP has struggled.,slate,0
"Its Minakshi Devi Shrine is dedicated to a pre-Hindu fish-eyed goddess taken into the pantheon with her husband, Shiva his Sundaresvara Shrine is next door.",The Minakshi Devi Shrine is from before Hindu times.,travel,0
"The man with the bow cried out, blood gushing from his thigh.",The man who screamed was bleeding. ,fiction,0
"In some cases, long piping is run from the storage and unloading area to the SCR reactor.",Sometimes long piping is run between the SCR reactor and the storage and unloading area.,government,0
The northern coast has been the major focus of tourist development on Jamaica since the 1970s.,Efforts have been made to develop tourism on the northern coast of Jamaica.,travel,0
"Conde Nast has also created a class of mandarin journalists, writers who live much better than they ever could if they wrote only for normal magazines.",Conde Nast has journalists who speak mandarin.,slate,0
"If it was humor, he didn't get it.",He did not understand the joke. ,fiction,0
"Finally, the last row, labeled Total is devoted to total First-Class Mail.",The last row is labeled Total.  ,government,0
LSC asked attendees to identify what they feel would be the next appropriate steps.,LSC wanted guests to advise them on the next phase.,government,0
yes so yeah um i'm i'm like you i i use my only use my credit card for um you know when i you know i just use it whenever i feel like i don't want to write a check and then but i don't charge anything that i can't payoff at the end of the month,"You can use my credit card, but only within my budget",telephone,0
And the Post emphasizes that how much of the collateral sexual material gets into the actual trial is up to the trial judge.,The newspaper focused on the fact that the judge decides how much collateral material can be introduced at trial.,slate,0
"The Carre d'Art, an ultramodern building opposite the Maison Carre, exhibits modern art.","Pieces of modern art can be found in the Carre d'Art, a structure which stands across from the Maison Carre. ",travel,0
One rumor has Milosevic funding the KLA because he needs an excuse to start another nationalist war to boost his popularity.,Milosevic may have funded the KLA to boost is popularity.,slate,0
"Another world unto itself, the exhilarating chaos of Naples commands its magnificent bay, the visible isles of Ischia and Capri, and the ruins of Pompeii in the shadow of Vesuvius, its still active volcano.",Vesuvius is still active.,travel,0
"With its wealth of pretty cottages, Askham is a true farming community.",Askham is a farming community with lots of pretty cottages.,travel,0
"If necessary they could seal your lips with a threat of what might happen to her."" Tommy nodded.",They're prepared to make threats in exchange for your silence.,fiction,0
"As a result, the English parliament enacted the Penal Laws of 1704, which disenfranchised the Catholic Irish; their purpose was to keep the majority of Irish poor and powerless.",The Penal Laws were enacted by English parliament in 1704.,travel,0
well i think that's good because you do have to use your mind and imagine up the circumstances and things it's not like,I think it is good because you have to use your imagination.,telephone,0
"Dell Computer, for instance, would be at least five times as hard to acquire today as it was a year ago.",It would be at least five times harder to find a Dell computer today than a year ago.,slate,0
The $6 million estimate is consistent with Viscusi's conclusion (updated to 1999$) that most of the reasonable estimates of the value of life are clustered in the $3.,Viscusi conclusion about the estimates of the value of life is consistent with the estimate of $6 million.,government,0
"Abandoning the New Territories and Kowloon, the defenders retreated to Hong Kong island, hoping for relief which never came.","The defenders retreated to Hong Kong in the hopes of getting some relief, but that never came.",travel,0
The whole was nearly eight feet in diameter.,The entirety was about eight feet in diameter.,fiction,0
they had uh kind of uh i don't know if you call it stand down or whatever but anyway they stopped and wait to see if Iraq would accept a permanent cease fire situation though as i understand it from the Iraqi point of view this current cease fire thing that the UN uh had set up you know the Iraqis are probably not going to go for at all unless they're just absolutely forced to,The Iraqis are not going to accept a cease fire so easily.,telephone,0
now what i have done is i have forwarded my home phone,I forwarded my home phone number to you.,telephone,0
"Versions of video poker range from Jacks or Better (the standard game) to Deuces Wild and Double Bonus, though the more wild cards involved the lower the payoff.","Jacks or Better, Deuces Wild, and Double Bonus are types of video poker.",travel,0
"Otherwise--Well, I guess I can do it on my own.",I suppose I can do it alone.,fiction,0
The disposition of the revenue from forfeiture is determined by law.,There are laws that describe the proper disposition of revenue from forfeitures.,government,0
"It became a focus of Jewish-British confrontation just after World War II as Jewish immigrants tried to run the British blockade , and became the first major city under Jewish control at the end of the British Mandate in 1948.",There was a Jewish-British confrontation just after WWII.,travel,0
At this moment he wanted nothing more than to rest here for the rest of his life.,All he wanted to do was rest.,fiction,0
"Buddhist and Jain merchants prospered with the new east west trade and so were able to finance the magnificently sculpted cave-temples in the Deccan, including those at Ajanta and Ellora.",The temples in the Deccan were built with funds from the new east west trade.,travel,0
A letter-writing campaign asks every lawyer in Maryland to donate at least the dollar value of one billable hour - typically a couple of hundred dollars - to the Legal Aid Bureau.,A campaign asks lawyers in Maryland to donate money to legal aid.,government,0
"He merely drew attention, correctly, to the damaging fact that Dukakis had tolerated a furlough program for especially violent criminals in his state even after a horrific incident strongly suggested this was a bad policy.",There was an horrific incident that suggested a furlough program for violent criminals was a bad idea. ,slate,0
At the tip of the Palisadoes is Port Royal.,Port Royal is at the tip of the Palisadoes.,travel,0
"From this vantage point the city could control not only the ships that passed through the strait on the important trade route between the Black Sea and the Mediterranean, but also the overland traffic travelling from Europe in?­?­to Asia Minor, which used the narrow strait as a crossing point.",The city had an influence on the passage of ships as well as overland traffic.,travel,0
"What do you make of the fact that all the doors of the bedroom were bolted on the inside?""","What about the bedroom doors locked from the inside, what do you think about that?",fiction,0
i'm real glad that i don't that i don't work in that kind of a uh a background background i'll take my job any day,I'm happy with my job the way it is.,telephone,0
Housing had always been scarce for Hong Kong's Chinese.,The chinese in Hong Kong have always had a hard time finding housing.,travel,0
"The page also features a condensed history of Beijing (disguised as a Beijing Tour), links to China's music, and a reader forum.",The page contains links to China's music.,slate,0
He jailed or killed thousands of Albanian Kosovars and banned Albanian-language publications.,Thousands of Albanian Kosovars were murdered or imprisoned because of him and he banned all Albanian language publication.,slate,0
Music and Cinema,Music and film.,travel,0
"The military's officer corps, especially the Army's, has been successfully transformed from a clubby elite, where promotions depended on golfing partners, into a more integrated meritocracy.",Officer corps transformed to a group that cared about merit.,slate,0
We could use another war.,Another war would be beneficial.,slate,0
"The Handy Travel Tips section at the back of this book (page 215) contains detailed practical guidance on the technicalities of travel in France, but here are some general thoughts to help you plan your trip.",The Handy Travel Tips section gives a lot of advice.,travel,0
"At their expressions of wonder, Hanson felt more confidence returning to him.","At their expressions of awe, Hanson felt a little more sure of himself.",fiction,0
"At last, it seems, Wolf has found a forum where the personal really is as political as she thinks it is.","It seems that, at last, Wolf has found a forum where the personal really is as political, as she thinks it is.",slate,0
"Four hundred of Cumberland's troops died in an epidemic of yellow fever and dysentery, and the British had to withdraw less than three months after their victory.",Yellow fever and dysentery killed four hundred of Cumberland's troops.,travel,0
The Commission solicited two rounds of comments on the proposal from interested parties., The Commission solicited two rounds of comments on the proposal from interested parties.,government,0
"In an increasingly producer-led economy dominated by price-fixing cartels operating with the government's blessing, consumers were left to foot the bill.",Consumers were forced to pay more money as a result of price-fixing.,travel,0
All I ask you is to keep your eyes open. ,All I ask you is to stay alert.,fiction,0
"For at-a-glance information on the city's entertainment facilities, refer to the map on the cover of this guide.",Refer to the map on the cover of this guide for at-a-glance information on the city's entertainment facilities.,travel,0
oh i use it up,Oh I finish it up.,telephone,0
(Rosenberg's Dictionary),The dictionary is Rosenberg's.,government,0
Do you really think I want a hue and cry for murder out after me? ,I don't want to have murder suspicions cast upon me.,fiction,0
"Just short of two dozen men, six on horseback and the remainder on foot.",A group of nearly two dozen men were travelling with six riding horseback and the rest going by foot. ,fiction,0
"If the reliability is not growing as expected, then decisions about changing or improving the design must be addressed.",It might be necessary to improve the design.,government,0
well what what's your perspective on it,What's your take on this?,telephone,0
Those two areas are already connected by I-85 and I-385.,Those areas are connected by I-85 and I-385.,slate,0
"An example of the fusion of religions prevalent in Nepal, the inner temple to this Bodhisattva is encircled by Buddhist prayer wheels, while Hindu images are mounted on pedestals."," The inner temple to this Bodhisattva is encircled by Buddhist prayer wheels, which is an example of religions being fused together.",travel,0
Surely it's not because he's afraid he'll run out of money?,He may be afraid to run out of money. ,slate,0
Drivers should be wary of the strong cider.,It's a good idea for drivers to be careful with the strong cider.,travel,0
The Vice President in his August 2 letter also asserts that the term aagency- in 31 U.S.C.,The vice president asserts the term ,government,0
"Scheduled to reopen in 2002 or 2003, the Malibu site will house only the Getty holdings in Greek and Roman antiquities, some of which date as far back as 3000 b.c.","The Malibu site will house only the Getty holdings in Romand and Greek antiquities, and it is scheduled to reopen in 2003 or 2002.",travel,0
except it broke my heart  i'm a dog lover,I love dogs.,telephone,0
"According to Newsweek , Clinton attorney David Kendall is gathering dirt about Lewinsky's mendacity and presidential obsession.",News reporting agencies have been stating that a confederate of Hillary Clinton's is seeking out dirty information about Monica Lewinsky; this is said to be about her fascination with the presidency. ,slate,0
"The New York Times highlighted three prizes won by the New York Times . Eventually, all three papers got around to acknowledging that the Grand Forks Herald had won the top prize for its coverage of last year's North Dakota floods and fires.","The New York Times used deceptive journalism, however they eventually admitted the truth.",slate,0
It will be part of a coordinated web information delivery strategy involving the courts and broad range of non-traditional partners.,The delivery strategy involves courts and a range of other more obscure partners.,government,0
"The Sala de Porcelana (Porcelain Room) is an overwhelming display of more than 1,000 pieces from the Buen Retiro factory of the 18th century.",The Sala de Porcelana contains many examples of 18th century porcelain.,travel,0
"In 39 of the 93 DOT rules that did not explicitly provide for electronic comments, DOT referred the reader to its docket management system for more information about the rule.",The reader was referred by DOT to its docket management system in 39 of the 93 DOT rules that did not explicitly provide for electronic comments.,government,0
"From the hall, a colonnade leads to an immense hypostyle (with columns supporting the roof) hall, decorated with double rows of papyrus columns with beautifully preserved colors, and on to the Court of Amenophis III.",The colors of the papyrus columns are well preserved.,travel,0
"No, I shouldn't say so, sir. ","Sir, no, I shouldn't speak of it.",fiction,0
"Learning was revered, games were played, and the poet was held in awe.",Education was highly regarded and respected.,travel,0
"I asked them and, of course, they were vague.",I made an inquiry and wasn't given much in detail.,fiction,0
Privilege is above and beyond the normal.,Privilege is not the normal.,slate,0
Ben Brantley writes in the New York Times that the play manages to entertain even at its darkest and preachiest.,Ben Brantley thinks the play is both amusing and disturbing.,slate,0
"In practice, awards seem to gain legitimacy with the patina of age.","As awards get rustier, they gain legitimacy.",slate,0
when we lived i lived in Maryland and we saw the Raiders play the Colts in the play off,We saw the Colts and Raiders whilst in Maryland.,telephone,0
in fact they were they out drew the Cowboys there for quite a while,They were out drawing the Cowboys for quite some time.,telephone,0
Maybe someday we can even have a circus of our own.,Maybe we can have our own circus.,fiction,0
2 million to a New York woman who was mistakenly kidnapped and transported to Alabama by bounty hunters.,A NY woman was inappropriately taken to Alabama by bounty hunters.,slate,0
Had he found a trail which led him in this direction?,Had he found a path that took him in this direction?,fiction,0
In 1794 another blaze swept through the streets.,In 1794 there was a blaze that swept through the streets and it wasn't the first time.,travel,0
right well i would think they would be,I think they will.,telephone,0
156 Overhead the branches flapped and creaked with a mournful note.,The branches made a melancholy noise when they moved.   ,fiction,0
"Significant findings and recommendations are those matters, that if not corrected, could affect the results of the auditors' work and users' conclusions about those results.",Results are heavily influenced by significant findings and recommendations.,government,0
LSNJ originally proposed a state plan that would leave the Passaic area separate because of its size and problems that made it an undesirable merger partner.,A state plan was proposed.,government,0
"The route there runs through groves of willow, used for the local cricket-bat industry, and fields of saffron.",Willow groves and saffron fields surround the path there.,travel,0
"The low vowels dropped away, high tones slipped in.",The vowels dropped out and the high tones came in.,fiction,0
"The Travel Tips section at the back of the book  gives detailed practical guidance on the technicalities of travel through Italy, but here are some general thoughts to help you plan your trip.",There is a Travel Tips section at the back of the book.,travel,0
"Don't let the name or rather bland modern appearance put you off; this is good-value, down-to-earth Jewish cooking like Momma used to make (a rarity in Eilat).","It has a boring, modern appearance.",travel,0
that's the most fascinating thing,That thing is extremely compelling. ,telephone,0
"The fair of Llucmajor, the second Sunday in October, is a great place to find excellent examples.",The fair is in October.,travel,0
"You'll see something of the town's Venetian-dominated era on the graceful Piazza del Popolo, bordered by the 17th-century Palazzo Comunale Venetian insignia on the piazza's two columns have been replaced by local saints Apollinaris and Vitalis.",The Piazza del Popolo displays Venetian influence.,travel,0
The federal government's effect on net national saving has varied widely over the past 40 years.,The federal government constantly has an effect on net national saving.,government,0
I blinked back blindness.,After blinking I was finally able to see again.,fiction,0
"Swaying palms and luminous skies, along with some of Spain's best restaurants and tapas bars, lure visitors to the provincial capital of Alicante.",The provincial capital of Alicante has some of Spain's best restaurants and tapas bars.,travel,0
The ability of information technology resources to,Information technology has abilities. ,government,0
"In response to the governor’s initiative to expand the state’s IT workforce, proposals were made for a program to recruit and fund college and university students willing to study technology management as a prelude to becoming part of the state governmentas labor force.",The governor has taken steps to expand the IT workforce.,government,0
"Although their styles and strategies varied, the leading organizations we visited agreed that several key factors were important in attracting and retaining talent.","Despite some differences in other areas, the leading organizations shared similar principles in attracting and retaining talent.",government,0
that's right i well he was what uh a Senator from Utah or something like that i can't remember where,I believe he might have been a Utah Senator.,telephone,0
"Even today, there are those on Porto Santo who will tell you that it was due to his time spent there that Christopher Columbus learned navigation techniques and the ways of the ocean, and found the inspiration to undertake his voyage of 1492.",Some of the people on the island believe that Christopher Columbus was inspired by things he learned on the island.,travel,0
"The signatories, who were the Chinese viceroy from Canton and the minister plenipotentiary of the United States of America, put their names to a historic document the first-ever treaty between the two countries.",The names of the signatories were on the first-ever treaty between China and the United States.,travel,0
"We have created you, Dave Hanson.",Dave Hanson was created by us.,fiction,0
"He is simply AOL's bad boy, and it has worked thus far for them.","He's AOL's anti-hero, and he's been a huge hit for them.",slate,0
"He's plunging us, the viewers, into it, too.",The viewers are being brought into it by him.,slate,0
"Now the Plaza de la Independencia, in which the arch stands, is a bedlam of midtown traffic and gateway to newer barrios east.",The midtown traffic passes the Plaza de la Independencia.,travel,0
been presented and reconciled with the case study,It was presented and reconciled with the case study.,government,0
"Henceforth, this column will refer to the show as This Week until either Donaldson or Roberts wins top billing.",The column's name for the show depends on Donaldson and Robert's winning.,slate,0
yeah that's true plus even if you lose weight and don't exercise it ends up just looking you know looking unhealthy,When you lose weight but do not exercise you could still look unhealthy.,telephone,0
"We expect to be awed by the sheer size and marmoreal magnificence of David , the Sistine Chapel, the dome of St. Peter's in Rome.","We are going to see the statue of David, the Sistine Chapel and the dome of St. Peter's in Rome and expect to be awed.",slate,0
" Outside and around the corner of the building you'll find a cavelike entrance to the necropolis itself, where several typical burial chambers have been cleared and illuminated; in all there are some 4,000 vaults.","There is a cavelike entrance with 4,000 vaults.",travel,0
He could always remember it when he had more time to think about it.,He could remember it when he wasn't as busy.,fiction,0
"Neither Martinique nor Guadeloupe enjoy duty-free status (apart from the duty-free shops at the airports), but almost everything from France is sold at mainland French prices, well below what the items would cost in North America.","Minus airport duty-free shops, Martinique and Guadeloupe don't have duty-free status, but prices in France are far less expensive than in North America.",travel,0
"Sometimes he thinks about a family he killed in a castle in the north, a young boy still clinging to his mother's breast.",He occasionally thinks about those he murdered.,fiction,0
Don't you know that the Satheri arranged to kill you first?,Weren't you aware that the Satheri made plans to kill you first?,fiction,0
"I remembered that she'd been quite near me on the Lusitania when Mr. Danvers gave me the packet, and before that she'd tried to talk to him once or twice.",I remembered she had been on the Lusitania as well.,fiction,0
This new hotel has supplanted the national parador as the top choice in Toledo.,The National Parador has been replaced by this new hotel as the number one choice in Toledo.,travel,0
"It was Jon's pistols, Ca'daan realized.",Ca'daan realized they were john's guns. ,fiction,0
to uh Texas a year and a half ago,"To Texas, eighteen months ago.",telephone,0
"If such evidence is present, return Kennewick Man to his rightful tribal reservation.",Bring Kennewick Man to his tribe if the evidence is valid.,slate,0
"You forget yourself, Dave Hanson!",You don't recall yourself Dave Hanson. ,fiction,0
have to have the right type of uh shoes too that's very important,The key thing is to wear the correct kind of shoes.,telephone,0
"But Solitaire's so f****** hard . Who made those rules, anyway?",But Solitaire's very difficult. Who created the rules for this game?,slate,0
"Efforts also are underway to develop a skills and knowledge inventory system that will be used to identify skill gaps and training and succession planning needs, both at an institutional and individual level, and to staff assignments more effectively.",Work is underway to develop a skills and knowledge inventory system to help at an institutional and individual level. ,government,0
yeah i understand that we we have a real similar situation ours uh quintupled at least uh so there is a real family budget,The increase really impacted our family budget.,telephone,0
like water are they water shoes is that,Are they water shoes?,telephone,0
yeah wow that's neat that you even you even reach the limits of yours i haven't even begun to reach the limits of  it i've,I haven't hit my limit yet.,telephone,0
"But if the court could be televised discretely, in black and white, surely justice would not be imperiled, and might even be improved.",Justice might even be improved if the court was televised directly.,slate,0
Ca'daan took a deep breath.,Ca'daan breathed deeply.,fiction,0
That apparently was no problem for Kennedy.,Kennedy has no alleged problem.,slate,0
i was gonna say there've been several times when i know they had ice storms down in Dallas uh that we would be up here trying to call and it we'd figure out after about the first hour that there ain't nobody at work,Whenever they had ice storms in Dallas I could tell because no one would pick up the phone.,telephone,0
"This area was also known as the Court of the Janissaries, after the crack military corps that served as the sultan's bodyguard and used it as an assembly ground while on duty at the palace (the name derives from the Turkish yeni ceri, meaning new army ).",The court of the Janissaries was used as an assembly ground for the sultan's body guards.  ,travel,0
"Of Rome's countless inspirational churches and palazzos, it is the Colosseum what Byron called the gladiator's bloody circus 'that is the symbol of the city's eternity.","Despite the broad range of fabulous buildings in Rome, the Colosseum is the standout representation of the city's everlasting nature.",travel,0
for me it would be interesting to find out what life was that life you know in that period but,It would be interesting to find out what life was like then.,telephone,0
"In some instances, GAO has been able to follow fairly intensively the implementation of programs or activities.",The GAO has complied with the various programs.,government,0
"We'll try it your way, Natalia.",We will do what Natalia wants.,fiction,0
A trial of screening tests in various formats (e.g.,The screening tests had different formats and these all have to go through a trial. ,government,0
"In one organization, the leader had taken most of the responsibility for these tasks.",Certain organizations require that the leader has the most responsibility.,government,0
Household mail is defined as the sum of mail in the above three sectors and is shown as Subtotal in Table 1. Its annual growth rate fell from 6.6 percent in 1987-90 to 0.7 in 1990-93 and further to negative 1.4 percent in 1993-97.,Household mail is the sum of mail in three sectors.,government,0
Let fools like Severn pretend that life continued normally.,Allow the idiots like Severn to go on like life was still normal.,fiction,0
"It seems that the picturesque older sections with their old houses, narrow streets, and winding alleyways may not be around much longer.",The historical parts of town are in danger of being gone. ,travel,0
"Also downtown is the Flower Market, on Wall and 8th streets; fresh-cut flowers and a variety of plants can be had for bargain prices, but the best selections are found before dawn.",The best selection of flowers at the Flower Market can be found before dawn.,travel,0
and we decided we'd just go across the road to the office and see if we could rent anything,We went to the office to see if there was anything we could rent.,telephone,0
i've yeah i've done it before and when i was in high in high school and college and thoroughly enjoyed it and and it's really a a blast my wife hates it but that's the way life is i guess,I've done it in the past and really liked it. ,telephone,0
"I think as soon as they get you, they'll come for me.",People will come and get me.,fiction,0
oh hum well uh i haven't for some reason have never really gotten enthused about football in the summer from from the the World League,Football is active in the summer.,telephone,0
The media focused on Liggett's admissions of the obvious--that cigarettes are addictive and cause cancer and heart disease--and its agreement to pay the states a quarter of its (relatively small) pretax profits for the next 25 years.,The media reported on Lingett's admission that cigarettes cause cancer.,slate,0
for a change i i got i get sick of winter just looking everything so dead i hate that,Everything is dead in winter.,telephone,0
"Anyway, thank you very much for trying to help us.",Thanks for all your help.,fiction,0
"No, monsieur.",The speaker is answering no to a question.,fiction,0
"No, don't answer.",Don't say a word. ,fiction,0
Jon drew it out and stabbed again in the man's throat.,Jon stabbed the man's throat multiple times.,fiction,0
I smiled vaguely.,I moved my face.,fiction,0
"New York 's John Leonard calls Oz an ecology and anthropology of terror, not for the faint of heart or the queasy of stomach ...","John Leonard says Oz is an anthropology of terror, not for the faint hearted or easily turned stomach.",slate,0
yeah that's up here in New England that's we call that backpacking which is the same thing which is you're you've got everything on your back you know an aluminum camp frame uh,"In the Northeastern United Stated, they hike with all of their supplies on their back.",telephone,0
"See you Aug. 12, or soon thereafter, we hope.",The person was invited for August 12.,slate,0
"The gardens are among the greatest in Europe, and take in a view of the Sugar Loaf Mountain as part of their design.",The gardens are amazing.,travel,0
"Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.",The GAO have reviewed the activities of President Clinton's Task Force.,government,0
H-2A agricultural workers are required to maintain a foreign residence which they have no intention of abandoning.,Permanent foreign residence is required for some types of agricultural work visas.,government,0
Text box 4.1 describes how the NIPA and unified budget concepts differ.,Text box 4.1 explains the differences between a unified budget and NIPA.,government,0
well um i uh exercise regularly i work at a university and i swim almost everyday,I am a fit person.,telephone,0
OMB has approved the information collection contained on the Form ADV and has,The information collection was approved by the OMB.,government,0
yeah right uh-huh that's right yeah you you have to work on you really do,Yeah you have to work on that.,telephone,0
"A museum inside the building gives intriguing insight into the life and heyday of the their rich costumes, their scimitars, and rifles inlaid with bright jewels and silver and a horrible bludgeon with a double serrated edge.",There is a museum that is inside of the building. ,travel,0
"If a trace of tropical lethargy still adds to the charm in this city of sidewalk cafe, palm trees, and pedicabs, any torpor definitely ends once inside the doors of Macau's casinos, scene of some of the liveliest gambling west of Las Vegas.",Macau houses some of the most intense casinos outside of Las Vegas.,travel,0
"Anyway, she was found dead this morning.""",She was dead this morning.,fiction,0
"The elements of this example, repeated across millions of individual tasks, encapsulates the difference between an advanced industrial economy with a high standard of living and a less developed country with a low standard of living.",This example is about standards of living and economies.,government,0
Seemingly endemic corruption was compounded by a remarkable dearth of political leadership and decisive action.,There is massive corruption in the political system.,travel,0
Several of its beaches are officially designated for nudism (known locally as naturisme) the most popular being Pointe Tarare and a functionary who is a Chevalier de la L??gion d'Honneur has been appointed to supervise all aspects of sunning in the buff.,There are a number of nude beaches.,travel,0
"4 million homes watch the evening news on CBS, ABC, and NBC.","4 million homes watch CBS, ABC and NBC. ",slate,0
"On various episodes he is a member, along with Bluebeard and the Grim Reaper, of the Jury of the Damned; he takes part in a snake-bludgeoning (in a scandal exposed by a Bob Woodward book); his enemies list is used for dastardly purposes; even his dog Checkers is said to be bound for hell.",Various episodes depict that he is a member.,slate,0
"At the same moment I felt a terrific blow on the back of my head… ."" She shuddered.",I was hit on the back of my head.,fiction,0
"Once they know their Social Security benefits promised under current law, workers can calculate how much they can expect from employer-sponsored pension plans and how much they need to save on their own for retirement.",Employer sponsored pension plans give workers money so that they can save for retirement.,government,0
It is that prospect that may bring Republicans together to defend a CPI everyone knows is inaccurate.,An inaccurate CPI can be defended by Republicans,slate,0
"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?",Many youth are lazy.,slate,0
"She hates me.""",She does not like me. ,fiction,0
"Several pro-life Dems are mounting serious campaigns at the state level, often against pro-choice Republicans.",Serious campaigns are being run by a few pro-life Democrats.,slate,0
Scotland became little more than an English county.,Scotland was hardly better than an English county. ,travel,0
"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",The village of Moria contains the ruins of a massive Roman aqueduct.,travel,0
Nash showed up for an MIT New Year's Eve party clad only in a diaper.,Nash appeared at a New Year's Eve party with only a diaper.,slate,0
We have taken a number of steps to empower and invest in our employees.,We are sure to invest in our workers.,government,0
no i mean there there there was nothing to it i mean,It was no big deal.,telephone,0
 It was utterly mad.,It was completely crazy.,fiction,0
Two aromatic aniseed drinks are also produced locally.,The aromatic drinks are produced in the area.,travel,0
"Likewise, at their production decision reviews, these programs did not capture manufacturing and product reliability knowledge consistent with best practices.","At their production decision reviews, these programs did not capture manufacturing.",government,0
It incorporates a risk assessment methodology intended to reduce audit planning time and ensure that significant issues are included.,It mixes a risk assessment methodology into the process to ensure that significant issues are included.,government,0
"7) Nonautomated First-Class and Standard-A mailers have the option of requesting that their mail be processed manually, even though the costs for such processing are substantially higher than mechanized processing.","Nonautomated First-Class and Standard-A mailers can ask for their mail to be processed by hand, though it costs the postal service more.",government,0
"Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.",The attracting feature of the new Mozart recording is Placido Domingo's appearance. ,slate,0
You'll even be able to consult a traditional herbalist to cure your ailments.,Traditional herbalists are available for you to consult with.,travel,0
Kentucky officials say there is a virtual epidemic of abusive relationships in the state.,There is a lot of domestic abuse in Kentucky.,government,0
"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.",Statues of the Gods were carried by boat along the river.,travel,0
Buffet and a  la carte available.,It has table service.,travel,0
and uh the whole organization was targeting to replace whole life policies with a term life with annuity an annuity and uh,Whole life policies with a term life with annuity could be replaced by the whole organization.,telephone,0
WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,Whole life policies cover the entire life of the insured.,government,0
"The National Association of State Information Resource Executives (NASIRE) represents state chief information officers (CIO) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships, information sharing, and knowledge transfer.",The NA SIRE represents state chief information officers.,government,0
"Indeed, the Democratic counteroffensive has already begun.",There was a previous offensive move made..,slate,0
"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",Offering a draft of the product for comment is consistent with GAO's Congressional Protocols.,government,0
and maybe we'll run across each other again,Perhaps we will cross paths in the future.,telephone,0
"Rep. Charles Rangel, D-N.Y.: I would say that if you had members of the KKK, that were not directly tied to the murder--that they did not do the murder--that 90 years [in jail] would be excessive.",Rep. Charles Rangel is a politician. ,slate,0
Workers are also represented in civil rights and retaliation claims.,Some workers are represented in civil rights and retaliation claims.,government,0
"A good time to visit is just at the end of the monsoon in October when you can see flocks of storks, egrets, and cormorants and it is ideally combined with a full-moon trip to the Taj, but there's plenty to see all year round.",The monsoon season ends in the month of October.,travel,0
"But, Slate protests, it was [Gates'] byline that appeared on the cover.","But, it was Gates' byline that was on the cover, Slate protests.",slate,0
"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.",They expelled him from Rand because he commited a crime,slate,0
yeah that's that's always nice when you have an animal that the kids can play with like that how old are the kids,It's good to have an animal the kids can play with. ,telephone,0
But overinterpretation or even misinterpretation are not the same as bias.,Overinterpretation and misinterpretation are not bias. ,slate,0
uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,0
"The entire setup has an anti-competitive, anti-entrepreneurial flavor that rewards political lobbying rather than good business practices.",The setup rewards political lobbying.,slate,0
yeah and crawl through it,I understand that I have to crawl through,telephone,0
"Hardly catering to locals, Universal Citys Cityalk attempts to snag tourist dollars with its extensive collection of retail wonders, including magic shops, toy stores, sports shops, and a host of science fiction memorabilia.","Locals aren't the primary target of the many magic shops, toy stores, and sports shops.",travel,0
huh do you have your own kiln or do you do you,"You don't have a kiln, do you?",telephone,0
